Model,C_AI_MSE,C_AI_R2,C_AI_adj_R2,C_self_MSE,C_self_R2,C_self_adj_R2,Mean_MSE,Mean_R2,Mean_adj_R2,robust_AI_adj_mean,robust_AI_adj_std,robust_self_adj_mean,robust_self_adj_std,robust_mean_adj_mean,robust_mean_adj_std
BENCHMARK-OG,0.0014582187261913,0.7945949812953761,0.7789663385678504,0.0011764717843696,0.5189784635959147,0.48237899886951696,0.0013173452552804501,0.6567867224456454,0.6306726687186837,0.7485704398334255,0.051878685152571075,0.4452929630911297,0.04952660561895126,0.5969317014622776,0.04135339508341656
PHYS-ORIG,0.0014982878798206,0.7889508312766744,0.7728927423520736,0.0011730708326309,0.5203690035581157,0.48387534078536365,0.00133567935622575,0.654659917417395,0.6283840415687186,0.7402032050010148,0.05058824246873998,0.44541781852764467,0.04885632873934923,0.5928105117643296,0.04030878887519067
PHYS-BASE+A,0.0013500026612748,0.8098383206100286,0.795369497178183,0.0011730413569418,0.5203810552209506,0.4838883094225447,0.0012615220091083,0.6651096879154896,0.6396289033003638,0.7600138601454485,0.051134679018886534,0.4453663701515569,0.048929661224799345,0.6026901151485028,0.03993867243563384
PHYS-FULL-PARTIAL,0.001189367733048,0.8324653928347948,0.8197181944635292,0.0006853466399134,0.7197837652543715,0.6984629647845955,0.0009373571864807,0.7761245790445832,0.7590905796240623,0.7883988324750963,0.04518072844471752,0.6511625365730977,0.046382319015965665,0.7197806845240972,0.031435516018137474
