iteration,aiconf_mse,aiconf_r2,selfconf_mse,selfconf_r2
1,0.0013841818385753955,0.8332476633881004,0.0018003076481711568,0.38376216755169923
2,0.0014442019519814964,0.7579981280675602,0.0010693391111368563,0.5145254744658851
3,0.0013931133594870285,0.8004058192715365,0.0013161527816119491,0.4549651967861448
4,0.0017882272079180151,0.7513016592046502,0.0012849847500078532,0.4571818782443473
5,0.0015648372546234299,0.8035997955693778,0.001672664149329095,0.39467782507665317
6,0.002134736382740652,0.7211949742983838,0.0017216053129170941,0.3850208597684336
7,0.0018923587658579426,0.7575427484514846,0.0013582844813517382,0.4558714427695194
8,0.0012404164903636323,0.8186611228438639,0.0010508939351557718,0.5024165597810102
9,0.002215047591334287,0.7038677504792374,0.0015666787927885813,0.412596796819366
10,0.001505028288032815,0.7765054264478732,0.0009705674130731564,0.565541606770241
11,0.0018234912385869868,0.6941655852732957,0.0016422126800485885,0.43458714483559124
12,0.0018124353624786869,0.7343277758383022,0.0011873835628759808,0.456365063109884
13,0.0014609326992271827,0.7449164497184774,0.0010987354985014647,0.5267001022795064
14,0.0018340675474353865,0.6961198710040359,0.0016573371215442315,0.41895040826860397
15,0.0017219997097223695,0.7518628441193874,0.0014213982394562137,0.4206350101930405
16,0.0013753541244687097,0.8332667254515368,0.001404765687484206,0.47132844220714953
17,0.0021950460686360807,0.710052708123468,0.0011222160797037745,0.5089247862535481
18,0.0010823518470288592,0.8593967830652632,0.001087924805353832,0.5507037674926547
19,0.001955806943260557,0.7211971342932249,0.001495745284504353,0.47107710298549155
20,0.0018043160978936268,0.7470931708087005,0.0013688620585445765,0.5112535927707966
21,0.0016066208147801951,0.7754183298391261,0.0012406174232624876,0.5022528404166712
22,0.0018274140766980482,0.7332869255341977,0.0011840436715141165,0.5678492502885484
23,0.002083076323478231,0.734076655377023,0.0011837226915529435,0.5133384146303676
24,0.0018195906396926633,0.7400540043776621,0.0014832347733884602,0.4325403928475071
25,0.0017300382108297254,0.7573086317099101,0.0012130291685830813,0.5071841318915278
26,0.001522328777816347,0.7820006834321759,0.0011922902747605875,0.4609478335086208
27,0.001686333510385034,0.7785549618490478,0.0014575144941261795,0.4867740363553341
28,0.0020232979092193494,0.7413471680254662,0.001360376942383261,0.43014456780297683
29,0.001015431610582192,0.8534028021003646,0.001022101692749366,0.5856270595084978
30,0.0017231168629258387,0.7561132523042763,0.0012191005547430972,0.5284780281605519
31,0.0019006492738614122,0.7303885898211951,0.00129558606071375,0.4772642400034184
32,0.0018519995676318948,0.7015523452095913,0.0011242652997907028,0.490953212209556
33,0.002021126907343933,0.7406163147065552,0.0012801007225435009,0.5608665389068049
34,0.0013070067493935085,0.8249180502908433,0.001384962162263106,0.49434819948107656
35,0.0016093666535009897,0.7602999001460136,0.0011994358649857761,0.4301885145051437
36,0.0019707594212973675,0.6989916447585636,0.001113960994376763,0.4597840200608181
37,0.0014172570014629627,0.8062972940507303,0.0012224386356680535,0.4670951136018988
38,0.0012076151006678185,0.8359529041184006,0.0011443788871378126,0.5232782603727328
39,0.0013943643796039407,0.821771097235836,0.001719799744721356,0.4545749886662743
40,0.0019747258075361205,0.653335142135014,0.0013490637747048577,0.40925898264406424
41,0.0016627058226118215,0.7692948243737159,0.0013941643289039137,0.4759953574627045
42,0.002047139169497334,0.6790516610797022,0.0014524275985837586,0.4656543309269344
43,0.0013868667161667304,0.7973645494148992,0.0010700016564559203,0.544005658955196
44,0.0012888086222327846,0.8343667141371134,0.0013568627913253491,0.4249532079577517
