alpha_fast,alpha_small,alpha_b,omega1,omega2,omega3,omega4,beta,gamma
0.2911841823781608,0.399782267464931,0.012298647966878278,0.8933221423290805,0.30969626933909206,3.7790188972833946e-14,0.475828579155952,1.711100745044724e-27,0.36618588096479743
0.24294049284377892,0.3444572933556987,0.0017794016549535683,0.8896192202819023,0.23739513108347074,2.602063196454592e-13,0.5318839858830392,3.5113188527780556e-17,0.3155281694052501
0.271420792080013,0.3974044074256659,0.005122043722135395,0.881409743809853,0.2639125687280441,1.032474362946674e-11,0.51693179097393,5.37443144584196e-21,0.3773850535224152
0.2776034188587172,0.38928605120141024,4.572531223245873e-12,0.8847212413275541,0.2748730066620771,4.1142263266202947e-19,0.5162775775713101,3.2306536781273196e-28,0.32402258987627064
0.2853524076497638,0.3398304643483778,0.02911286754302102,0.8381534227744311,0.2580673743473092,6.181434706630941e-13,0.528465743484477,1.7909592988347703e-25,0.37166418353302105
0.271957598665817,0.3882974226032346,0.005660788236407845,0.8626332474038237,0.20586625034813255,3.513560911174066e-14,0.5561022914944413,1.0910855332292438e-21,0.306840267154118
0.2603732819546793,0.3235418893449805,0.01203214171229486,0.8568775167608111,0.14564904994325337,2.2906126378438466e-13,0.5846170923871474,4.3067213429481906e-18,0.34559428982297724
0.2639608985997898,0.38104761059097764,0.023684640905532565,0.8936031074503592,0.17317041500427668,1.3848497366058868e-13,0.5481060343155733,9.999999999999067e-13,0.35245885216199946
0.2779170518801063,0.3740399818423143,0.01691388035023203,0.8666063622273392,0.28130343828016563,6.2698304494193115e-12,0.51630444271774,4.796069537119468e-22,0.3185351027436361
0.24623923327644334,0.3668833205138695,0.023353497830417836,0.8601260551315782,0.2151339958865476,1.1476491496223238e-11,0.5510393755005764,1.2644841048574864e-15,0.34814405677584753
0.2522097030292403,0.33040109158536785,1.9269101093089193e-13,0.8505372051114835,0.2845712314172806,1.9471771893766286e-18,0.5933770896134856,2.2989840205641958e-27,0.37882280286324
0.25822788241604555,0.3666838695958842,4.0410614544425126e-13,0.8575965941455809,0.2324477526828373,7.534378381945651e-19,0.5859302924621455,9.999999999999632e-13,0.3949338045533207
0.24497380057594578,0.34915368444394146,0.011564594428950322,0.8752665324217975,0.21292313409473163,2.968898296107305e-11,0.5542920136024537,6.469057786072279e-19,0.31334871471574915
0.226738720613294,0.4302754331849473,0.0006692024625521737,0.8769589494632475,0.2073517674035257,9.973971862504875e-26,0.5604193643650641,9.99999999982227e-13,0.31246183682764617
0.2594274877772318,0.3426689401755913,0.03247543131475688,0.850533608051447,0.21653938815659113,2.964208911346868e-12,0.5311558648286417,1.0855558582480276e-23,0.3930354324709606
0.2951261419635407,0.32319644806807585,0.028342369416696,0.825200046901613,0.2625913109116841,1.2246503625951959e-12,0.5801946860263693,8.00931785310116e-24,0.3937562787234579
0.2713351429519353,0.39347048888422037,0.009575041320584878,0.8750055202215593,0.23564050051738156,4.089773212916057e-12,0.5312109279413366,3.516136835161845e-19,0.32385759569066325
0.27512272715564223,0.40777678281741947,0.002408888341959357,0.8546667124888047,0.2761641650757513,6.784244509047074e-13,0.48914759378428974,1.0212084813843264e-19,0.3338991506291224
0.2496598381947481,0.3225315432605272,0.020432923058655475,0.8231298210753237,0.21718455307953877,2.9767542728169995e-15,0.585802812046625,9.997900453447072e-13,0.37845667783469017
0.2759237595049282,0.34372352335442435,3.5312815223421673e-13,0.8604646924863742,0.27255899042685855,1.4861189764715987e-15,0.5519422627908278,8.698881861286791e-23,0.3593238954349948
0.2639170732889515,0.3411475052375961,0.020924071901987532,0.8435842435616595,0.23769402086698768,2.227445908505075e-12,0.5710783349785827,9.643725875783728e-19,0.3548792639505344
0.2518255017689365,0.3415041520645101,0.021171938408665002,0.8236791230403461,0.2563668525236241,3.8253693435359635e-15,0.5545923296754582,4.0510875923702755e-20,0.3110314717736107
0.27481498655805575,0.3795147290068705,0.00745964972250421,0.9160775127990146,0.1916555173914259,1.6117413489358517e-13,0.5232671366237956,8.847086516380827e-22,0.29591465887450596
0.27095295593662594,0.34395883543240474,0.025214239656857696,0.8746250843066323,0.2270641015570577,8.45086040343345e-11,0.5553406058727263,7.41362923745894e-21,0.34631616100797397
0.2889079475568099,0.3362528720976682,8.301818906017971e-14,0.8586874766901292,0.3115088944474102,3.180283100051189e-15,0.5204593623547162,4.1241814762239224e-23,0.38906103787997753
0.2748796875934214,0.3056234271518438,0.006594267337118843,0.8095054151161444,0.29030686590360527,2.6354176506544157e-12,0.6071791333019553,6.151764166654783e-23,0.34619713894917176
0.2553457539720491,0.3616255003613458,0.016542899708656147,0.8730805617921208,0.19828498150295576,1.90674724362608e-13,0.552100886622301,1.6919473045011903e-21,0.35259758624556786
0.27223273277938953,0.3843253312027475,0.0063963268441430245,0.872422446433813,0.2562415587758294,1.1071321488018907e-13,0.5092350781820697,1.2557245910393027e-16,0.3456875052641395
0.27109597092457344,0.34919964769544215,0.0030120790898297786,0.8480752293973174,0.28318194172527855,2.687650827880297e-13,0.5244895442896946,1.7642027867942995e-25,0.31582924855417055
0.25956510308964637,0.3327350785084393,0.013016076799129122,0.8455293019833255,0.1904907250996006,1.1910121821376105e-14,0.5701790941222454,2.7289315100397313e-21,0.33059076602358367
0.2592971013781013,0.34425349179050163,8.962759251314515e-11,0.8837519353743999,0.20083076653850424,1.2352771073761807e-13,0.5292114975987531,9.999999999950904e-13,0.33407946673798866
0.25244162128476266,0.3575621090785798,1.267001755004923e-13,0.8953968292689756,0.22716128160989205,3.623874333053071e-17,0.578786681265396,2.2269977721656954e-22,0.40349777263865017
0.2692321281810396,0.3319599402212626,0.0016477414196856763,0.892749769185006,0.2047802597167661,3.568400125794589e-18,0.5710613867405934,9.755136786374406e-28,0.27788010412540387
0.26886878417840865,0.35474162272525406,0.011316553760218586,0.8681652456893225,0.24063369702762186,4.058939041608191e-11,0.5639935662602844,4.308396266507486e-22,0.33685973600128294
0.26301756007345145,0.3234244375310129,0.015654802439787084,0.8337497100465875,0.2014368685761651,5.4415767993253196e-14,0.5854913107582284,2.0322422651018427e-22,0.3662648103698164
0.25299909633827744,0.35429591975233915,1.768086529953152e-11,0.8681441885982892,0.21819352226290692,6.089011968925513e-14,0.5963290023535981,9.99999999971814e-13,0.3997899025670926
0.2625259433947933,0.36432794236011035,0.010105202037266163,0.8900125315185671,0.19324056467383982,8.885219434001008e-12,0.5482034728652778,4.929198760147571e-21,0.3183825514907148
0.25574213040856036,0.3442965968618121,0.04206104740024051,0.8896521065181087,0.1694294850265297,4.004150389739449e-12,0.5466499760148085,4.75427400322674e-21,0.33899402159682424
0.28928043610044174,0.3204616408744568,0.00737724260365231,0.8286549615739809,0.24852598331442546,1.2771787745651212e-14,0.5780156734989214,5.3166269579200013e-20,0.32166341880338134
0.22745892596447562,0.37310540810024945,3.925018165777043e-10,0.8535370302888403,0.21272263832626565,6.068410840028093e-25,0.5667991315182018,9.999999999997683e-13,0.3358229389150632
0.25949392883473865,0.3957047360163068,0.004200692573650098,0.8362194635007216,0.15210418092374556,2.2518308241552254e-17,0.5574343177784427,4.847945415096138e-21,0.29474524193063045
0.2564173598711529,0.2971890414583672,6.21760149762711e-12,0.8502340774430861,0.24438323913984686,3.082200597125226e-17,0.6052547627651897,1.8608481618538216e-24,0.3335632807863167
0.26715128384930237,0.39174968892488754,0.01839944520022905,0.8357833750076809,0.2524530345291359,8.704614898190456e-16,0.5304290438808409,7.134657105678469e-23,0.3288275840173808
0.263877509368189,0.34934767386943644,0.011590483420729724,0.9101530097663683,0.21023271934181936,9.73589163855453e-14,0.546249631820758,6.976663266104252e-25,0.3633073013323228
0.2690394474746795,0.3641692512395224,9.516959142501199e-11,0.8653806420801475,0.2464766018015231,9.3791015057583e-16,0.533149235994675,4.2539435976273296e-26,0.3255349171947328
0.2884400732955332,0.35989651223756586,0.014976801479608925,0.8635884292667377,0.33559623410306233,6.28159879357465e-13,0.4954062208515927,4.52231820944334e-25,0.3750281569610631
0.2619753559376685,0.35404055649414473,0.007777924577078364,0.8674234633253975,0.2805262930870074,6.325804680028077e-13,0.5560564390133823,1.1644087688927053e-21,0.3853007155281122
0.24634681109646525,0.30440008702142185,0.009956193561597377,0.8666014758354655,0.21089473026153707,1.015753365482772e-16,0.5955599627600066,4.570069953952395e-18,0.3593127923873645
0.2783165171085454,0.3642196040928266,0.03238434549024892,0.9022810153563426,0.23002876274028405,1.1824576729384345e-09,0.5378277960764517,1.3229846107246397e-23,0.3935748561607714
0.27141490589406086,0.35130860837697564,0.038860921370510004,0.8348892871900693,0.22546435794169825,1.2060545926901067e-12,0.5435819779100476,7.706925100153877e-24,0.38591728286434734
0.2718304108818301,0.3649851271678846,0.02059683456688154,0.8718663264146184,0.2561920403894863,1.5155636225681854e-10,0.5516906765978316,5.381849589794128e-22,0.3898892348912508
0.2665872857606327,0.33907043998340364,0.0002359988805095771,0.8491591004361477,0.2358205141541641,1.8354515396531158e-17,0.5562247321639111,6.726153911877494e-30,0.33379054469436287
0.27490758678244914,0.3774672982952739,1.631974348368302e-11,0.8557735798464198,0.26777037497839035,2.0389901901465534e-19,0.5212833022090886,5.878416733227265e-31,0.2995868070250157
0.25722388446914823,0.360501568901168,0.035845854010155234,0.8693804146195621,0.253376856750654,1.915710383782157e-11,0.5558117210364515,3.602971384983919e-19,0.44593520131816766
0.2599505275727844,0.34932945661043685,0.012937479884033994,0.866504046653536,0.21002483365224145,5.0466612111333305e-14,0.578180580312603,2.5598078409444717e-19,0.3623655762673032
0.28885967137239027,0.3676416948851289,0.017761014620556518,0.8666800677686377,0.2578695930359055,6.260866777773226e-13,0.5204387877362691,1.8086088227484211e-22,0.3712303803638541
0.2896313872904583,0.35162943993533097,0.017295773659377688,0.8741967009003222,0.2758561463230814,1.4321463327031574e-13,0.5019124989030063,1.5428879936744507e-25,0.3635519493576764
0.2607742072034583,0.3610265050646245,1.438286644016715e-08,0.8510416691878657,0.21997577490076345,1.0586007765855055e-30,0.5479396160810047,9.999999999999984e-13,0.34838002660550077
0.2653325999094611,0.3867229666532421,0.01186034448497148,0.8376764098050314,0.2397031907372835,9.177032859534755e-13,0.5456052794331104,1.4144303980403278e-19,0.3284878880173903
0.262097301531196,0.31459265714000983,0.031762374861342604,0.866483646951722,0.1599104920920094,3.3962824517477037e-13,0.5612927138589933,3.4255165314511644e-21,0.34272829741418337
0.2759761109008857,0.3262827063921873,0.013571973435095678,0.870155682535333,0.2567910520764832,8.744644594124006e-12,0.5089074459227043,8.908099024417471e-22,0.32723094032055694
