parameter,vif
alpha_fast,9.397356369384914
alpha_small,2.968454486580492
alpha_b,1.1032537939706875
omega1,1.596830451711644
omega2,3.7058948494720574
omega3,5.18308778025439
omega4,2.2687729432864003
beta,1.097858143457563
gamma,3.060082303549799
