alpha_fast,alpha_small,alpha_b,omega1,omega2,omega3,omega4,beta,gamma
0.28458912160501515,0.442484806582792,5.118240784477927e-13,0.5780180431107843,0.8667804338151719,0.27208973104500705,0.23403474285841364,5.365664586684726e-29,0.13304214569589096
0.22058321580082196,0.4728558056888862,6.062134585054499e-11,0.6285713734992965,0.8978761779899693,0.19933819467238728,0.19201535931038086,1.3523136641737487e-28,0.169252195386252
0.2374699009582948,0.4752064162363211,4.077223992426635e-11,0.5840128038115996,0.9012982463053587,0.20950600461626623,0.21657152981761693,5.029512576767544e-24,0.18547969062339062
0.2418482500820137,0.5180193753368936,2.1306846012024656e-09,0.5825137874392675,0.8626366976625459,0.21097031585949197,0.27909381665850364,1.6593490867836205e-29,0.14619205955355177
0.2922861121518118,0.44620354483653196,6.099687449100489e-15,0.5566300596307371,0.8378998024702973,0.2503711187087099,0.27108907787894754,4.012786734870344e-28,0.12168626562941537
0.3306719792913075,0.4208680579848329,5.715528765249311e-19,0.5566764176265446,0.7870394550507203,0.2806710098939557,0.31391132864114496,1.3955835037134747e-27,0.13956807926475862
0.27559919010357237,0.5447353668865931,7.0619824722781436e-12,0.5791454765080863,0.8428788109745129,0.2154594653011727,0.3072878217210478,6.169659883280024e-28,0.12642350544050418
0.3512649833842796,0.3772896359687478,6.532538643547352e-10,0.5949236448671008,0.7900814115016583,0.313873950852426,0.33034217283805356,4.568458397534647e-37,0.04703659633752083
0.376882595324413,0.4393435399116422,2.0375175915698035e-12,0.5241963065127216,0.7013052277316575,0.30292206548963185,0.3353353344426838,2.5645819948887435e-14,0.07643234518926378
0.25630773624023434,0.4486103717949894,1.6443528324013177e-11,0.5748974864441806,0.8209306003714756,0.21463940666869794,0.256873909017237,1.569416172748257e-30,0.09484993819730177
0.3432720027496324,0.47609007196334147,3.417167638652657e-14,0.5406212730034041,0.7717159154608605,0.28394801882872805,0.3424255196826523,4.2100473807528435e-29,0.12044932377845308
0.2998805448127741,0.44644727552515456,1.1651599850570639e-10,0.5766236499062545,0.786221019157614,0.2558706072093625,0.3008278848224726,1.0249798668199842e-28,0.09666267201143271
0.22655452485935546,0.5645200335719099,9.4293183339373e-11,0.5783628616087892,0.8981901543410344,0.1688525626660889,0.26373816899903163,1.8941767509461239e-25,0.18103982544592448
0.2855111396052332,0.531019602067065,1.1386326384686662e-11,0.5291970330419942,0.76084770455334,0.2517979679956068,0.2924351335649334,4.229863846979116e-25,0.08731665655320368
0.28285530153534755,0.4647790096221135,7.788225482248658e-12,0.5881441609115887,0.8485255286158846,0.27830918451229547,0.27928349441053757,6.593433274531482e-31,0.09227352734185597
0.31502979163704653,0.4876787943478272,2.351806562288427e-10,0.5792438217065513,0.7744221553512555,0.25816979923637473,0.3202786093946158,9.259039510213686e-29,0.09797408025343173
0.2268638932040428,0.49888190311164016,4.942027042333706e-14,0.6230841632648358,0.8635454324131905,0.1564255689905165,0.27181459842993144,1.389135162841676e-33,0.15869552290583358
0.2309802813024078,0.4627113903941322,8.752045760929139e-12,0.6077455050045896,0.8795853394608317,0.2023471150165269,0.1952735061252241,5.947585036405149e-27,0.1649199596138346
0.24580962479859322,0.5110292868252964,1.4688062627064538e-13,0.5561409309956252,0.8881251932196135,0.1712972732080961,0.28696671056754,3.4494841443563075e-28,0.15051872180079623
0.24977683769733988,0.5052824971229879,3.3203097611597464e-12,0.5854074717664673,0.8643899561079135,0.18844770868748048,0.2336792150897739,3.407197131646784e-27,0.13472588167323746
0.2995961033656129,0.4396778569173981,7.871691578477098e-12,0.5891282355655503,0.7854058337003974,0.2733171962272193,0.2891830530159745,1.220472455020693e-29,0.09376906824209731
0.2078573555972549,0.5312046696266383,5.1747654913913193e-14,0.5985461867991865,0.8918755973881533,0.1075293058390184,0.249431219487645,8.184655874064439e-30,0.19057269749006756
0.27549619314551066,0.4675600337961781,1.0534211106429655e-11,0.6045295780757872,0.8688784465176627,0.2518697841976353,0.3118949252268351,7.889778198446962e-28,0.12802697577784147
0.28515930332446204,0.47845384816447584,1.558994189503234e-08,0.5647410009434934,0.8262711764542046,0.27241668694635884,0.29301517016735457,5.867221184869695e-31,0.07160645260340945
0.3079469132083921,0.4711153601889546,1.31762447954563e-11,0.5541278173424189,0.8209099289251264,0.24220820258372536,0.2640089409505391,1.0130879199672936e-32,0.15719874758288083
0.3135021237623388,0.5173273522304561,6.528875484327515e-12,0.5354413533880988,0.7323012145522481,0.2603379966970464,0.3111540053341312,9.264683477055346e-30,0.09627911336843838
0.26746333275715045,0.4744248913126679,9.289009191775483e-14,0.5696418394632654,0.9062138742593611,0.2459025108146873,0.26492810484657503,6.63246746716433e-26,0.14674253230091394
0.3142919379064298,0.46608239331761037,1.7673296464925592e-12,0.5362389956933036,0.7913705279021163,0.259298437822942,0.3493533154040625,7.260589394326318e-32,0.09773957574152439
0.23948424942512456,0.4838857793567665,2.5662757459527896e-10,0.6001750041252264,0.8874271257829169,0.20119271155286794,0.22619022663691732,2.093874732312334e-28,0.14824770820143549
0.18789968278869595,0.6363193842910906,1.6722277913817918e-13,0.6492407036466528,0.920160575785404,0.05219545542340474,0.2592288761566662,4.460588013970147e-29,0.20898433509910347
