parameter,vif
alpha_fast,1.954741256434982
alpha_small,1.6025590322906742
alpha_b,2.0180108831043024
omega1,1.6737633873570719
omega2,2.5616529202816825
omega3,1.1859752735481017
omega4,3.030214080312234
beta,1.328223035662672
gamma,2.2273719301388084
