model,mse,r2,alpha_fast,alpha_small,alpha_b,omega1,omega2,omega3,omega4,beta,gamma
aiconf,0.0014646410927011066,0.7936903253001013,0.2694977738624978,0.35654027756963946,0.012644594991910662,0.8622860733148068,0.2399068275138633,2.4076342494702385e-26,0.5434151214711701,3.5903458468962184e-20,0.3380381932225246
selfconf,0.001186465436135865,0.5148923802824465,0.2844485567792061,0.47058172163342676,4.69812612941479e-10,0.5736110831204153,0.8283372756832803,0.23842545875014956,0.28633444156957794,1.2552071957826825e-27,0.11470204963847132
