alpha_e,alpha_a,alpha_b,omega1,omega2,omega3,omega4,gamma
0.2845943563707394,0.44247589222200506,3.730185780241495e-20,0.5780165178832593,0.8667724291515246,0.27209326887471835,0.23403934831003917,0.13303598889157042
0.22058120796905556,0.47285902683352665,3.6148195149064597e-20,0.6285734927912608,0.8978786688317294,0.19933487242921208,0.19201366417619034,0.16925566694632907
0.2374587493572421,0.47522140828882137,2.669135430713941e-23,0.5840179042861553,0.9013153844495908,0.2094918983657111,0.2165642732829487,0.18549750131008827
0.24185072110757466,0.5180138973361331,4.863655429500737e-10,0.5825119732699806,0.8626337243755138,0.21097415710293288,0.27909531910862423,0.14618820888352868
0.2922724647860116,0.4462287763480782,3.913109538714117e-16,0.5566303085368338,0.837924176442295,0.25035527489865456,0.27107994400728175,0.12169984039757574
0.3305733598624384,0.42094792592295044,5.94066530798429e-27,0.5567168033943201,0.7871069191155944,0.28058023334752663,0.313884671461395,0.1396477589031317
0.27560784527238374,0.544726451914972,3.190098679735512e-11,0.5791411639254577,0.8428690466104106,0.21547017048022307,0.30729095487188607,0.12641518920316613
0.35128860860455474,0.37728142211148435,2.6038309803506565e-08,0.5949149049137692,0.7900618702102578,0.31389484456019867,0.3303518117608618,0.04702722038782782
0.37686917489560123,0.4393447698942886,3.6713153887380603e-19,0.5241991057337969,0.7013101228654387,0.3029109558729184,0.3353334010684058,0.07643655437859835
0.2563096848955494,0.448610604480625,6.57884075653351e-11,0.5748966195707926,0.8209282214192147,0.21464137439001327,0.2568747617171316,0.09484873076132976
0.34321631811640274,0.47611868937110696,5.076263330746025e-24,0.5406357287931749,0.7717515416964258,0.28390219701130937,0.34241634403427185,0.12048493208878389
0.2998143362721416,0.44648492650076105,1.3695208722243822e-14,0.5766508165940908,0.7862799942662081,0.2558045728998937,0.30080088965363877,0.09670639943300784
0.2265576754527866,0.5645145504264772,7.974760744414608e-11,0.5783607380305642,0.8981860909554455,0.1688577564294997,0.26373974917617893,0.18103433774761477
0.28547496304082437,0.5310428094413812,2.2222248114320038e-11,0.5292139954518648,0.7608681299853053,0.25176002025577465,0.2924237372014783,0.08733998682186116
0.28279742363011784,0.4648276683810139,7.697970566114108e-15,0.5881661550258516,0.8485900883309684,0.2782436609037023,0.2792557292785957,0.09231741302770742
0.3149817360844655,0.48770574113884396,6.1571229389564825e-12,0.5792598860265371,0.7744604306919558,0.2581228379186502,0.3202666759319692,0.09800536058430409
0.22688186845263972,0.4988415225103406,2.3141935604903194e-13,0.6230658724123607,0.863527513728119,0.1564589292583026,0.2718233396091448,0.15866255289704692
0.23098107889758643,0.4627090204337324,9.367618385245634e-21,0.6077448989356007,0.8795840448660586,0.20234812937081997,0.19527450893001225,0.16491830842212524
