parameter,vif
alpha_e,1.8816354517032374
alpha_a,1.575420491837413
alpha_b,1.9250588202735481
omega1,1.6099766840897172
omega2,2.3857676195786843
omega3,1.1857983585902359
omega4,3.014290226868399
gamma,1.9911626337049837
