model,mse,r2,adj_r2,alpha_e,alpha_a,alpha_b,omega1,omega2,omega3,omega4,gamma
aiconf,0.0014646454577262602,0.7936897104416736,0.7779921884100618,0.2694985699040873,0.3565409979977167,0.012644967060427486,0.8622859869563057,0.2399080892320719,7.970055741787305e-25,0.5434142758111182,0.3380384472800365
selfconf,0.0011864319709951482,0.5149060631039282,0.4779967418183575,0.28441662643254195,0.47061065975410166,8.340073638196549e-15,0.5736246654124522,0.8283717047599359,0.23838865794760594,0.28632136415362386,0.11473014477385712
