parameter,vif
alpha_e,9.39155972752077
alpha_a,2.96773202018755
alpha_b,1.10310867477208
omega1,1.5963566357896346
omega2,3.7031600349010643
omega3,5.180062388865121
omega4,2.2680983657599763
gamma,3.058797844924746
