alpha_e,alpha_a,alpha_b,omega1,omega2,omega3,omega4,gamma
0.2911845901796368,0.39978527237066436,0.012299262366105136,0.893322285499246,0.30969704823831096,2.0741942919417462e-22,0.4758278194527725,0.3661910598763012
0.2429401969113751,0.3444586988629296,0.00177807229183205,0.8896210807037657,0.23739415822151355,3.7935709139084646e-26,0.5318841257871989,0.31552537595536323
0.2714210529768564,0.3974059360060347,0.005122208819030925,0.881409452440982,0.2639133792001844,1.0892592464023624e-23,0.5169314355771566,0.3773869329183178
0.277603368497362,0.3892858709970925,5.485736621428139e-16,0.8847212194565545,0.2748729375527703,2.484659317423461e-33,0.5162776415950012,0.32402255106979055
0.2853536003185296,0.33985043119848307,0.0291147889071443,0.838153966294031,0.25806856645020726,1.7424056341683942e-25,0.5284645700486914,0.3716975960890213
0.27196003619252496,0.388298848279365,0.005661043777346978,0.8626330660418656,0.20587069094405783,6.796038508328894e-27,0.5560998272075818,0.30683602149691025
0.26037486819007644,0.3235440865914866,0.012032225745259084,0.8568782021209312,0.14565269734173333,2.649715717647634e-28,0.5846145720222096,0.34559171773107117
0.26396172695493364,0.3810479795094619,0.023685013708486614,0.8936032410899957,0.17317241693672528,3.635726255090693e-21,0.5481045002925842,0.35245801608801275
0.27791681587288125,0.3740401639680794,0.016913838022423196,0.8666064487965495,0.28130308646679386,1.4572772603552936e-25,0.5163045596186591,0.31853576858379856
0.24624437227971793,0.3668906119228451,0.023354035690448013,0.86012684759848,0.21514362778512314,7.679246416675687e-22,0.5510332630400935,0.3481344244463392
0.2522097203440054,0.3304011034341895,2.6101950360989833e-13,0.8505372169059815,0.2845712717266387,6.181208275608769e-32,0.5933770596347541,0.3788227579761807
0.2582284258119108,0.3666844584965879,1.4210322938686382e-11,0.8575967229733336,0.23244853263162837,5.757523520558879e-28,0.5859296139517017,0.39493233270355366
0.24497034020773276,0.349151349632114,0.011563649411254243,0.8752677000227032,0.21291589336959862,3.735078326490015e-24,0.5542962950060593,0.31335293989380253
0.22673920160832062,0.4302721698080012,0.0006704191543566817,0.8769565051171885,0.20735507657114727,3.352999842105134e-33,0.5604195066448545,0.3124621368540219
0.2594288485786794,0.3426730198973869,0.032476047017677395,0.8505344190329454,0.2165415907353467,5.1777038586912534e-24,0.5311532531436925,0.3930369127429199
0.2951271043690835,0.323197960566231,0.028342810365655148,0.8252010508963925,0.2625933497909053,1.8464411530438005e-23,0.5801923017920532,0.3937564507576575
0.27133521049760034,0.39346994226491144,0.009575071097290763,0.8750058377266756,0.23564075337561058,1.9958265352931e-24,0.5312105303634772,0.3238573827306079
0.27512241023376005,0.4077751440598083,0.0024077360203407856,0.8546676000298274,0.2761633249688327,6.06682557040416e-26,0.48914810935218683,0.33389452488989324
0.24965945078409457,0.32253102407784606,0.020432947776274652,0.8231298879294926,0.21718424891271815,4.44282353922634e-28,0.5858029972134318,0.37845819299031114
