Model,AI_MSE,AI_R2,Self_MSE,Self_R2,Mean_MSE,Mean_R2,Delta_MSE_vs_og_physics
og_model,0.0001718606796447,0.7808938693002375,0.0003718462351988,0.5531684318113524,0.00027185345742175,0.667031150555795,2.7356206165500335e-06
og_physics,0.0001673941272756,0.8059893651011334,0.0003708415463348,0.5948870209515111,0.0002691178368052,0.7004381930263223,0.0
phys_noB,0.0001620238096208,0.8122135902562787,0.000370833259551,0.5948960735609123,0.0002664285345859,0.7035548319085956,-2.689302219299988e-06
physics_res,0.000157890710681,0.8170038727020604,0.000277844604926,0.6964783025887731,0.0002178676578035,0.7567410876454168,-5.125017900169999e-05
physics_gain,0.0001621738979268,0.8120396371552361,0.000373326673448,0.592172230070864,0.0002677502856874,0.70210593361305,-1.3675511177999988e-06
physics_assym,0.0001620238096208,0.8122135902562787,0.0003708477644589,0.5948802281776188,0.00026643578703985,0.7035469092169487,-2.682049765349989e-06
full_model,0.0001538034112155,0.8217410733268476,0.0001588756446873,0.8264418149647905,0.00015633952795140001,0.8240914441458191,-0.00011277830885379997
