action,nonzero_n,+/+,+/+_percent_of_action,+/+_percent_of_nonzero,+/-,+/-_percent_of_action,+/-_percent_of_nonzero,-/+,-/+_percent_of_action,-/+_percent_of_nonzero,-/-,-/-_percent_of_action,-/-_percent_of_nonzero
accept_ai,289,103,8.925476603119584,35.6401384083045,37,3.2062391681109186,12.802768166089965,62,5.37261698440208,21.453287197231834,87,7.538994800693241,30.103806228373703
reject_ai,257,44,3.5918367346938775,17.120622568093385,85,6.938775510204081,33.0739299610895,54,4.408163265306122,21.011673151750973,74,6.040816326530612,28.79377431906615
modify,133,43,6.9243156199677935,32.330827067669176,17,2.737520128824477,12.781954887218046,13,2.0933977455716586,9.774436090225564,60,9.66183574879227,45.11278195488722
