sample,n,pearson_r,pearson_p,spearman_r,spearman_p,same_direction_rate,opposite_direction_rate,zero_or_mixed_rate
all_trials,3000,0.10346497500475606,1.3477560114650934e-08,0.11311021226347873,5.209313109763613e-10,0.137,0.08933333333333333,0.7736666666666666
modify_trials,621,0.297229559785536,3.920777705434687e-14,0.32919059599650996,3.6777974884853306e-17,0.16586151368760063,0.04830917874396135,0.785829307568438
non_modify_trials,2379,0.05952494388617021,0.003679831682626324,0.06451128196800959,0.0016429993116392377,0.1294661622530475,0.10004203446826397,0.7704918032786885
non_aligned_trials,2869,0.08872318779182779,1.9397521302029824e-06,0.09428749232654768,4.205802938098837e-07,0.13245033112582782,0.09236667828511677,0.7751829905890554
non_aligned_modify_trials,613,0.2941201558101847,1.0678904579828121e-13,0.3238324928989386,1.968570498151395e-16,0.16476345840130505,0.048939641109298535,0.7862969004893964
