iteration,modify_r,non_modify_r,diff_r,diff_fisher_z
1,0.18909293294568555,0.04702894182554224,0.1420639911201433,0.14433263907389784
2,0.2734054661607214,0.03866197268552716,0.23474349347519427,0.24185947837404015
3,0.3442519816502587,0.03446493368364911,0.3097870479666096,0.324429606939853
4,0.2676309446032464,0.0809560992867879,0.18667484531645848,0.1931765821148468
5,0.15701750779359205,0.09652067863742012,0.06049682915617194,0.061505232928782905
6,0.2521043505398694,0.09017061950073905,0.16193373103913034,0.16724251321979675
7,0.2877958013841832,0.09674193034984746,0.19105387103433574,0.19911590523214087
8,0.2864575325862615,0.03752725698704448,0.24893027559921702,0.25715794470061004
9,0.386553041010119,0.052358372748497556,0.3341946682616215,0.3553348611583049
10,0.26532165921936973,0.06339076053404318,0.20193089868532654,0.20834856112281347
11,0.4033743501596419,0.07189437447145373,0.33147997568818816,0.3556538713130948
12,0.18763879436084188,0.06577209075707977,0.12186670360376212,0.12402148603510751
13,0.3107086118382859,0.10294650481005543,0.20776210702823047,0.21801703930825456
14,0.23327005001546933,0.11941041579181233,0.113859634223657,0.11766204926261557
15,0.3511304078157787,0.08391231943480124,0.2672180883809775,0.282622444423582
16,0.3209619136487571,0.08166308251319339,0.23929883113556372,0.25087378186095965
17,0.11795196724883808,0.03193801817545906,0.08601394907337902,0.08655470398431712
18,0.3254278178684477,0.06558185574391591,0.2598459621245318,0.27202981981261704
19,0.3312041431577575,0.057722908820829824,0.27348123433692767,0.28639301084904545
20,0.2744567946167039,0.04690551435198971,0.22755128026471422,0.2347373909294988
21,0.21825690876913637,0.034625035419264726,0.18363187334987163,0.18718621439881747
22,0.2794301534921759,0.06418518960786711,0.2152449638843088,0.22279030617997514
23,0.312031601357852,0.034885457058296265,0.27714614429955575,0.287894956260095
24,0.3447410352121405,0.042699693354256774,0.3020413418578837,0.3167374328018492
25,0.40912944136365215,0.13242151055840945,0.2767079308052427,0.30136141979337755
26,0.32945692207105476,0.12006245040703983,0.20939447166401493,0.2215745384920692
27,0.2734193002397992,0.11207769218853902,0.1613416080512602,0.16800513770593556
28,0.24505612499445203,0.03223338434013831,0.21282274065431372,0.21790168502339125
29,0.336880684667405,0.054021435806030846,0.28285924886137415,0.29649561907692973
30,0.14258350354150096,0.026780930228163156,0.11580257331333779,0.11677437165552376
31,0.27997005398009445,0.10858473123440485,0.1713853227456896,0.17863504196766725
32,0.13177011338023484,-0.006135573213145761,0.1379056865933806,0.13867646628458197
33,0.38386629341765044,0.13728041855195441,0.24658587486569603,0.2664335683613586
34,0.25969191291046556,0.11984639644574167,0.13984551646472387,0.14535282795228427
35,0.36714751517553285,0.08465738411950897,0.2824901310560239,0.30026169327661606
