quadrant,n_trials,share_of_nonzero_quadrant_trials,n_participants,accept_ai_n,reject_ai_n,modify_n,accept_ai_percent,reject_ai_percent,modify_percent,positive_feedback_percent,condition2_percent,align_percent,ai_before_mean,self_before_mean,gap_self_minus_ai_before_mean
AI_up_self_up,190,0.27982326951399117,71,103,44,43,54.21052631578947,23.157894736842106,22.63157894736842,79.47368421052632,44.21052631578947,12.105263157894736,0.2881578947368421,0.2986842105263158,0.010526315789473684
AI_down_self_down,221,0.32547864506627394,78,87,74,60,39.366515837104075,33.484162895927604,27.149321266968325,7.239819004524888,42.53393665158371,3.619909502262444,0.6199095022624435,0.5961538461538461,-0.023755656108597284
AI_up_self_down,139,0.20471281296023564,51,37,85,17,26.618705035971225,61.15107913669065,12.23021582733813,20.14388489208633,53.23741007194245,0.0,0.20503597122302158,0.6528776978417267,0.447841726618705
AI_down_self_up,129,0.18998527245949925,51,62,54,13,48.06201550387597,41.86046511627907,10.077519379844961,38.759689922480625,57.36434108527132,2.3255813953488373,0.562015503875969,0.27906976744186046,-0.28294573643410853
