condition,action,n,positive_feedback_rate,mean_delta_ai,mean_delta_self,mean_delta_gap_self_minus_ai
1,accept_ai,711,0.5724331926863573,0.00808720112517581,0.020042194092827006,0.011954992967651195
1,modify,335,0.31343283582089554,-0.023880597014925373,-0.029850746268656716,-0.005970149253731343
1,reject_ai,454,0.22687224669603523,-0.011563876651982379,-0.02477973568281938,-0.013215859030837005
2,accept_ai,443,0.3860045146726862,-0.01805869074492099,0.0208803611738149,0.03893905191873589
2,modify,286,0.34265734265734266,-0.0026223776223776225,0.005244755244755245,0.007867132867132868
2,reject_ai,771,0.28793774319066145,-0.0019455252918287938,-0.023994811932555125,-0.02204928664072633
all,all,3000,0.36866666666666664,-0.005916666666666666,-0.004916666666666666,0.001
