feedback_group,positive_feedback,n_trials,n_participants,condition1_trials,condition2_trials,delta_ai_mean,delta_ai_std,delta_ai_sem,delta_self_mean,delta_self_std,delta_self_sem,delta_gap_self_minus_ai_mean,delta_gap_self_minus_ai_std,delta_gap_self_minus_ai_sem
negative_modify,0,418,95,230,188,-0.039473684210526314,0.2061621687735081,0.01008372128770552,-0.05921052631578947,0.20904051374729232,0.010224505742284064,-0.019736842105263157,0.25280048271130445,0.012364875787947089
positive_modify,1,203,75,105,98,0.038177339901477834,0.22544373862664305,0.015823048488759248,0.08004926108374384,0.20376043382613726,0.014301178840282784,0.04187192118226601,0.2598941965792959,0.01824099662058803
