model,n_trials,n_participants,objective,predictor,coef,odds_ratio,boot_ci_low,boot_ci_high,bootstrap_p,n_boot
split_vs_monotonic,679,86,304.002603246529,prior_gap_self_minus_ai,0.7432775457019126,2.102816308830701,0.17936361429965522,1.5948383154307368,0.013289036544850499,300
split_vs_monotonic,679,86,304.002603246529,positive_feedback,-0.5933723542140148,0.5524610453586937,-1.008317799660958,-0.19299225566690262,0.013289036544850499,300
split_vs_monotonic,679,86,304.002603246529,action_reject,0.7580968242106452,2.1342105750092197,0.1917379517616194,1.2802841078232539,0.019933554817275746,300
split_vs_monotonic,679,86,304.002603246529,action_modify,-0.6113562548130297,0.5426144463444726,-1.2852442382980385,0.07098750570042027,0.09966777408637874,300
split_vs_monotonic,679,86,304.002603246529,condition2,-1.4264935326044095,0.2401495240872662,-2.1471660186493056,2.3461168775374643,0.8106312292358804,300
split_vs_monotonic,679,86,304.002603246529,trial_z,0.03518057941470639,1.035806737286736,-0.2082761024550347,0.33103259214497155,0.7774086378737541,300
ai_up_self_down_vs_ai_down_self_up,268,61,18.592171895696563,prior_gap_self_minus_ai,21.914617243803313,3291526394.4175687,19.157967855240898,33.98900398203024,0.006644518272425249,300
ai_up_self_down_vs_ai_down_self_up,268,61,18.592171895696563,positive_feedback,-3.2966423484666474,0.037007216364874,-7.692826281209827,-0.00043404457254640413,0.059800664451827246,300
ai_up_self_down_vs_ai_down_self_up,268,61,18.592171895696563,action_reject,-0.07639154252125635,0.9264533896388858,-2.4517939269627016,1.7016873870871634,0.7043189368770764,300
ai_up_self_down_vs_ai_down_self_up,268,61,18.592171895696563,action_modify,1.4860851270358553,4.419758811363196,-2.1455207779246854,6.747454820417169,0.19269102990033224,300
ai_up_self_down_vs_ai_down_self_up,268,61,18.592171895696563,condition2,-3.116896683466552,0.044294414940071004,-5.754741961513101,4.6375627305955005,0.9900332225913622,300
ai_up_self_down_vs_ai_down_self_up,268,61,18.592171895696563,trial_z,-1.0592599946709493,0.3467122843603529,-2.478217527926386,0.8501499714569284,0.23920265780730898,300
ai_up_self_down_vs_other_nonzero,679,86,106.12306690472758,prior_gap_self_minus_ai,10.622087151488072,41031.16387561422,8.27759280296285,16.48363929127674,0.006644518272425249,300
ai_up_self_down_vs_other_nonzero,679,86,106.12306690472758,action_reject,-2.9842215975610915,0.05057885893713641,-7.908839619905353,-0.46817654989043267,0.03322259136212625,300
ai_up_self_down_vs_other_nonzero,679,86,106.12306690472758,negative_feedback,-0.10792831900147012,0.8976919415789897,-1.3569735899906366,1.2194141773154084,0.7242524916943521,300
ai_up_self_down_vs_other_nonzero,679,86,106.12306690472758,reject_x_negative,4.44542269507683,85.23589901868257,1.7168203617661562,9.36133162441924,0.006644518272425249,300
ai_up_self_down_vs_other_nonzero,679,86,106.12306690472758,condition2,-2.8631426481791284,0.057089067204224915,-2.6125812382876235,2.911193452669865,0.7906976744186046,300
ai_up_self_down_vs_other_nonzero,679,86,106.12306690472758,trial_z,-0.02272799066487431,0.977528344448385,-0.5350320218136803,0.5284096646189884,0.8837209302325582,300
