model,iteration,prior_gap_self_minus_ai,positive_feedback,action_reject,action_modify,condition2,trial_z,negative_feedback,reject_x_negative
split_vs_monotonic,1,0.5953758416656908,-0.36324461008609193,0.9578382714442057,0.18063653419018957,-0.44366328439950037,-0.09945813204777117,,
split_vs_monotonic,2,1.4984269434314739,-0.8753560761253366,0.18787221069128487,-1.0886185821484178,0.47064878069234356,-0.008421586503697542,,
split_vs_monotonic,3,0.5045286739792368,-0.472516747874423,1.0357067558995832,0.14303294257142699,-1.6948723035353226,-0.11824874210723556,,
split_vs_monotonic,4,0.8082909708193158,-0.5900658997448334,0.7410641087668869,-1.2209180468593004,-3.071203061662306,0.023483083547528923,,
split_vs_monotonic,5,0.42065010584839735,-0.727101104491477,0.1743319575170699,-0.8622932423635957,1.8633682173326913,-0.08372727419928666,,
split_vs_monotonic,6,0.8796541400394468,-0.7918297241737198,0.4418302638286075,-0.8894713097881598,0.3444090221969679,0.2071259886951168,,
split_vs_monotonic,7,0.7804826975471599,-0.4423056212588957,0.6221823060153641,-0.8438719986900305,0.7728401613768989,0.05191428178587488,,
split_vs_monotonic,8,0.6568018863181513,-0.4503994176350804,0.7330479456257863,-0.6412399885566317,0.043191887590741926,0.2157027361287842,,
split_vs_monotonic,9,0.7570451649496883,-0.8668138705797247,0.9309098768504028,-0.7843929550340532,1.7670761292551291,0.23408719346240378,,
split_vs_monotonic,10,0.25356478411525585,-0.5247672283572735,0.7419532982557523,-1.1618915929041385,1.4551306386437943,-0.06855827362746647,,
split_vs_monotonic,11,-0.08187744955421726,-0.62684496469639,0.915734263772002,-0.5975359711549204,1.0353197518941188,-0.3152699558086947,,
split_vs_monotonic,12,1.1096751894888213,-0.628912629348415,0.5916060589735563,-0.45289169934038004,2.4497528921958054,0.2056388654871642,,
split_vs_monotonic,13,1.1660147660925497,-0.6356411406030469,0.8032482175889055,-0.892189649545645,1.429657991024438,-0.028864308578850868,,
split_vs_monotonic,14,0.7854644774312622,-0.6372198501820501,0.8066246587717086,-0.25834518974035053,1.5102430723368532,-0.12386310401449659,,
split_vs_monotonic,15,0.6583907094766075,-0.6099508247320965,0.9261343028023532,-0.6972115216372565,-0.3612954976839909,0.2153826723113566,,
split_vs_monotonic,16,0.7627414509837641,-0.3884556164586985,1.1776521276966743,0.06177674869222679,0.5734612083377134,-0.14331910764037895,,
split_vs_monotonic,17,1.1382274249023079,-0.6272690407307279,0.7023626369250932,-0.8683864760829854,-0.41419692371912314,0.1741223411264672,,
split_vs_monotonic,18,1.1788395371466105,-0.49117486879826416,0.14341023517853674,-1.0071682969841804,1.2703542733463016,-0.19409139720766974,,
split_vs_monotonic,19,0.4682119953991595,-0.9272313465863699,0.42426683824754313,-0.9362716103093385,-1.685899688146301,-0.17362801002209624,,
split_vs_monotonic,20,0.37414494940691045,-0.405933335471081,1.268112219802774,-0.537545936611317,0.03479085714808508,0.24049937271879337,,
split_vs_monotonic,21,0.4728178559404455,-0.7476603814771252,0.886428413733469,-0.6715910357378906,-0.07569466562377318,0.0029256031058801798,,
split_vs_monotonic,22,1.1300511632762853,-0.6518912809556628,0.4812502821187116,-0.9613855792320392,-1.5673366996240006,0.21675172295363856,,
split_vs_monotonic,23,0.2717238884553098,-0.8547755859132466,0.748917573328127,-0.5539033315195517,0.22971967471869129,0.0016547500730008287,,
split_vs_monotonic,24,0.7742698395985445,-0.9557847518104805,0.6682192699118735,-0.45501494087225175,1.5573024909438702,-0.08103298492237605,,
split_vs_monotonic,25,0.40831027081603466,-0.3966841389422857,0.7608194018298715,-0.7338208630260956,-0.632911103631,-0.010310137571234586,,
split_vs_monotonic,26,0.8729484756613681,-0.7667489869309955,0.5205589658530936,-0.49813682430792555,1.2566351502618678,-0.02725529076849861,,
split_vs_monotonic,27,0.7265446039980845,-0.639629315562457,0.4063232051940581,-0.9636559510528173,-1.2494261884835376,0.0028574501986616692,,
split_vs_monotonic,28,0.6702363490312163,-0.6417029700555934,0.775282527898875,-0.8985806141812898,-0.9880003644742834,0.1496840552441751,,
split_vs_monotonic,29,0.37617436372011476,-0.6251790978817385,0.7056182518509719,0.04018731676817275,1.124122945980245,-0.10451085391240723,,
split_vs_monotonic,30,0.9634853093671365,-0.8554594802131412,0.9677687008246855,-0.16261205999055628,2.1603003410822166,-0.06856567615766399,,
split_vs_monotonic,31,0.6999479362083222,-0.7031152699449927,0.9992027350745217,-0.9056947582632643,0.5543360067789214,0.03560460935749204,,
split_vs_monotonic,32,0.5988109595671859,-0.7765707411698751,0.626184639019424,-0.6503323550266757,1.1517983106810825,0.03264810116668083,,
split_vs_monotonic,33,0.47835323502699023,-0.5273988928089516,0.7178117631211518,-0.8169898607642766,0.31579125114362616,-0.1713623537724714,,
split_vs_monotonic,34,0.626398140056814,-0.6090455087158765,0.6901923751695881,-0.919019888595063,-0.23699380103929285,-0.057354537063861816,,
split_vs_monotonic,35,1.3447674909204586,-0.9421598919812584,0.6039492365938577,-0.2606793626812109,1.5498598790560814,-0.011571465171401844,,
split_vs_monotonic,36,1.0920979952792738,-0.5251450630452749,0.8962063511252124,-0.6573825009939176,0.7960088488551826,0.21419738983843567,,
