iteration,aiconf_mse,aiconf_r2,selfconf_mse,selfconf_r2
1,0.0002033912173350179,0.7940398680416518,0.0005073794471331257,0.5391755254207987
2,0.00013529054029396654,0.8343116967855745,0.00035364405509592665,0.5681169805982866
3,0.00018210181638361842,0.7917596858507758,0.00032230979483952043,0.6147232004408649
4,0.00019806347486734296,0.7676544659787897,0.00044935733809451696,0.5248758371906257
5,0.00019168300953205584,0.8069554566880749,0.0004628822066249462,0.5467305870768581
6,0.00022187103127657002,0.771367489699739,0.0004985645587735533,0.5398695173489287
7,0.00022596161279279635,0.7311980814360788,0.00037661370135030897,0.5412419213243216
8,0.00024064670193272615,0.6528857056756265,0.0002888093057844292,0.604507197309168
9,0.00026448448029564467,0.7605904019246497,0.0004978077797770737,0.5115234162482618
10,0.00019630302320927992,0.8174220226569591,0.0002656995682315996,0.6802215854073584
11,0.00015659999432818432,0.8171986817400084,0.0005461844996150995,0.509843628582567
12,0.00016708626577922192,0.7932856293692239,0.00031839928294261473,0.5622339395351165
13,0.00022901308799265702,0.7188061740333705,0.00032551145061962566,0.6164872377450759
14,0.00014351206909260774,0.8090387408757557,0.0004552993485281771,0.5642652187962698
15,0.00017622171443733268,0.7780733369425447,0.0005085044670518973,0.459375416787282
16,0.00023137804632114922,0.740358942760604,0.0004351028981229394,0.5345974571609786
17,0.0002208102564199633,0.7436866126537252,0.00031791102779328193,0.603721127194627
18,0.0001571884230082696,0.8378826175111111,0.0003385788103752599,0.5940754108991291
19,0.0002519943921650022,0.7194921830378949,0.0003911506848619692,0.6037848462676234
20,0.0001824554641044438,0.7761285629590331,0.0003908650747537128,0.6151173941362591
21,0.0002224552114812106,0.7726668445639855,0.0004174896502381245,0.5322114009526316
22,0.0002452111738960971,0.7602632827176263,0.00033584623989654967,0.6473878481069741
23,0.00018137497775565787,0.7609011815111975,0.00036804207592165585,0.5829079742635475
24,0.0001736237997354897,0.7247726205988729,0.00045514873511615556,0.5275788803047075
25,0.00019578213221808165,0.7764984354611866,0.0003871610138199759,0.5611465658893546
26,0.00022049755130863262,0.7135236827128748,0.00037673961833520114,0.5366329702087651
27,0.00022447057197183166,0.7766454735946794,0.00042779766782903014,0.6112406700508959
28,0.00018538023228211736,0.7864806727890579,0.0003829560837309174,0.5458603905752295
29,0.00020541243556101998,0.7338206275081924,0.0002896973464189334,0.678648715173336
30,0.0001730838081997832,0.8135603477910656,0.00042005575595121543,0.5706286182034925
31,0.00018896721933444626,0.798901635280829,0.0004128633356863292,0.5253189323978629
32,0.00018959890349230752,0.724741100411924,0.00033393143971776864,0.5808603193159021
33,0.00029017727542820474,0.7312625277883347,0.00044074777885412726,0.5911410868945891
34,0.0001618873550530693,0.841504072560969,0.00041715336035604776,0.591568357020086
35,0.00029578271024164617,0.6416286891273837,0.0003192926420859773,0.5901926774137598
36,0.00024576561773014205,0.7065428130727834,0.00037565202846375373,0.5327418487391413
37,0.0002192758169261752,0.8015714530975152,0.00039276911158850206,0.5595889874864328
38,0.00022827968034999345,0.7435860064711463,0.0003197370986428367,0.6279070491407163
39,0.0001887450358415989,0.7992296571657231,0.00045981773371802596,0.6094591888206097
40,0.0002011291032971664,0.7849096270525325,0.00048046232577391725,0.46347500371593087
41,0.0002201828138225534,0.747208888256347,0.00045016190620719796,0.5240251339338775
42,0.00020271974304752647,0.7171202519625398,0.0003964132761019904,0.5972589345890353
43,0.00021113338677218517,0.7711032735163209,0.0003811162217209981,0.548538933241553
44,0.0002051764419700941,0.7715248436243218,0.00038675067387487495,0.540651178829576
45,0.00019664846945702616,0.7822381276528002,0.0004007006557783671,0.5304814570953782
46,0.00015233435473351444,0.8356842915234001,0.0004768472965677006,0.5786169703695037
47,0.00022658320104734743,0.749196399128951,0.00045324028873629176,0.583592939928058
48,0.00022362863280849917,0.7103377376177079,0.0003394360477115374,0.5919887550349183
49,0.00022657017671319773,0.7749014150557789,0.00034920714139121306,0.6458276824557139
50,0.0002300606581866032,0.723979323454851,0.0003489383239485045,0.5456636229597955
51,0.00017191442836792984,0.8150577377972122,0.00035674046281721275,0.5743941454376252
52,0.00017129354934756954,0.8366472112182118,0.0004795618953563185,0.4918082021428767
53,0.00017496348102291848,0.8160012961667817,0.00036414124579740566,0.6003637150243359
54,0.00019618095271023864,0.7474872856785133,0.0005002137791764173,0.5506063257793901
55,0.0002039954277655064,0.7586683445499594,0.0003878906866386472,0.5353811623187045
56,0.00022295246282408754,0.7193835326286102,0.0005038075825570959,0.5263626441927569
57,0.00022020650595123195,0.7776218322543771,0.0003692980072712128,0.6253460181069987
58,0.00021559116037468893,0.7543047764241564,0.00045091313789231123,0.5416162413890071
