parameter,vif
alpha_fast,4.876153138459719
alpha_small,1.4176518634818844
omega1,1.4476033380948565
omega2,2.501875464993101
omega3,2.549249689857904
omega4,2.602712096919529
beta,1.2545045626220808
gamma,1.714195345649077
