alpha_fast,alpha_small,omega1,omega2,omega3,omega4,beta,gamma
0.25662227593790843,0.4002924186351658,0.893043570614678,0.289637379663495,4.274754121780909e-14,0.5034237494159228,1.377784008957125e-28,0.3012531547072655
0.2182334785259814,0.3417040893403418,0.8884839032436221,0.2063730252622681,0.016465118314102255,0.5384936333561472,1.814211310830489e-21,0.27951140812295844
0.2423918605674519,0.36348207741931554,0.8741968006974892,0.22986957809359299,0.02910182193444556,0.5335839000202981,7.532416875135274e-30,0.31302210685159276
0.24423815526308187,0.3687922536748816,0.8684134346080505,0.25436340846388616,5.293488919152588e-13,0.5587293750473225,1.3268670742068451e-22,0.30335945045044144
0.2435349469006517,0.30759982000110725,0.8474118752916894,0.22735249799767465,7.168998612496111e-12,0.5426624837642896,6.639385178098701e-31,0.18821131880765438
0.23174120217775593,0.38453327181657715,0.8687593077840403,0.16392449270550552,4.105133917821359e-11,0.5913885871159211,1.027888730318265e-19,0.27357035151527276
0.22378604463854257,0.31326894563675517,0.8672137390035843,0.09503245000502147,1.7243244526061507e-13,0.6167765519791542,1.8903488650552497e-22,0.25843923717189266
0.2440093428095233,0.3728122693045487,0.8801480804907466,0.15278745305410335,0.048239375404474975,0.5529626357705291,1.4299193540262156e-26,0.22559958529601357
0.2448012425427166,0.35924326639455334,0.8653686375897556,0.2544712012709148,4.0629576275693205e-13,0.5567619478754349,5.161049033517091e-23,0.24249604274384715
0.21320171826033715,0.3428044474057953,0.8661108951489036,0.18192509437425067,1.2369650063646504e-12,0.5772205964928596,7.554004249813248e-25,0.22299625467146372
0.2181801033531175,0.3206549069301839,0.85774474238301,0.24577168964041365,0.0036150954027106123,0.6195092515350518,3.37368725078997e-29,0.32829413677104935
0.22601327368642152,0.35755030083824263,0.8574288220689432,0.20600848655249504,8.929022509479519e-13,0.6023286079320075,1.0551387290031718e-20,0.3397592156002738
0.21184259371027558,0.32996388277800803,0.8815511381909392,0.166002204786163,2.7813870825082265e-11,0.5806781448038533,1.498375184417013e-21,0.23456565399497675
0.19846233547340658,0.4195891429151459,0.8826856604195891,0.17075077760000024,9.132443077706271e-14,0.582835453512559,9.999999999988168e-13,0.27818418795995414
0.22540707501942356,0.29840361072509125,0.8640809679969993,0.1812996901278476,2.63070659526521e-07,0.5475464857305662,2.1486431221865705e-19,0.1888242543663555
0.25393862116119126,0.30125409463049735,0.8358389393410579,0.22539236643209826,1.0968260014170636e-10,0.6025534004305838,6.2643875776056464e-30,0.20638367273437103
0.23717321521153858,0.37682559397132226,0.869878589550343,0.20594198816063508,1.0298902405091444e-13,0.5769447087334485,1.0262858376115167e-23,0.2836348630426848
0.23719109289253568,0.3845837955618131,0.8631934501569719,0.2249086803970083,3.099366190760129e-10,0.5113900205410232,2.345453894797556e-22,0.29834648923876844
0.216298363873954,0.31119950887736103,0.8213175453721305,0.18542664087838273,2.1568517392471893e-19,0.6323822473263334,7.831253156615262e-24,0.27073894215191546
0.23834568129770495,0.3389472033357388,0.8605988112575188,0.2464724489793781,5.176412890852243e-10,0.5743412719765164,1.3616525333815794e-23,0.3377519503275263
0.2277972156256655,0.3303941528553126,0.8560143684705913,0.19634626255363985,9.154871653988514e-11,0.5972359226472236,5.139949901955993e-22,0.2334653318887184
0.22050484908052118,0.31177579023017893,0.8205511983208591,0.2273850948258262,4.5050365613237623e-11,0.5891340167931607,1.0843768600664594e-22,0.19298631562498406
0.2405877853595992,0.3522465405942448,0.9086008564660975,0.16134460004293338,6.465513399074145e-18,0.5448512373843032,1.1666409153687777e-22,0.22563215207871556
0.2341202066452342,0.31241560967522525,0.8804315388043434,0.1893442681770058,1.4394114486236279e-13,0.5822034030379974,2.802682679265817e-23,0.20264364872057253
0.24740708536451506,0.32645493787658464,0.8690667390081748,0.2544955513536627,8.897019060990733e-11,0.5450972234600975,9.999999999999994e-13,0.35540927611064127
0.23600495706863403,0.2975453507292049,0.8130701208258294,0.25680367567869333,5.703627215766578e-07,0.6324439218650841,2.400765095513614e-22,0.26657273009951293
0.2204705099429586,0.3407136647205813,0.8757353116227375,0.16115433668655585,1.222892292101154e-10,0.5848279049771186,4.191775226551448e-20,0.24879134458194216
0.24287406023451977,0.3752896943424896,0.8651146141386685,0.2298965513264563,5.4082881614285543e-11,0.5440350843800594,1.1134123845536513e-19,0.29249883014770045
0.2448898813265546,0.3348687206768934,0.8429135539213595,0.25282395435856403,0.02149394756419829,0.5380792914443333,1.010164210746837e-31,0.2678848705047909
0.22285224276540178,0.32486171162837246,0.854127188794461,0.14007003399962337,7.077320910601771e-14,0.6006206469488689,1.4572914924634496e-22,0.2663225032655129
0.22260977005614205,0.3368292382274924,0.8892175496212005,0.142085615251871,8.4396222787525e-13,0.5599855157428978,9.999999993853016e-13,0.32754958221523106
0.22495783885802828,0.34302768501933195,0.8909134490132644,0.19779417303920785,0.02771393902142325,0.591455615723831,1.1998677664913345e-23,0.34704282048162627
0.23146163705298478,0.3256201021129289,0.8934032543410316,0.16498242140588346,8.52181554147802e-12,0.6035447594594535,1.0787723900467914e-23,0.24784848220122185
0.24079046349052846,0.35791399107268645,0.86560912457806,0.20096466874282679,0.03494546570407094,0.5855752959096369,1.3134995595399814e-27,0.26884075249296946
0.2423937368981423,0.29762310527475416,0.8226292011406517,0.19208865862532085,0.055876347527313595,0.5875571280473892,2.1722659674867687e-26,0.23713688365077384
0.22959370679323599,0.3407497753942293,0.863502978381305,0.18794791644768205,0.033146927772287636,0.5952857104450502,2.7790243664374286e-20,0.3261301245880795
0.2256126617409934,0.35596316494932484,0.8955279731407948,0.15172066784958094,3.786057267214324e-12,0.5731912875487446,2.4316267864827922e-25,0.25814381988357027
0.22261285477259893,0.3307322667295278,0.9065081118019293,0.11100328389453,3.657597642776073e-10,0.5627824202903627,6.5392356002922e-29,0.15693992154399564
0.24506130772778884,0.31732859365148086,0.84088916463158,0.20099728068344747,4.9204392912645325e-12,0.598985585263305,1.4107392415228874e-23,0.25769495331283004
0.19982355766041082,0.35950509073761394,0.8605981879021094,0.1558891479841566,2.4950040323954455e-14,0.5912507472188991,9.999976545912147e-13,0.2944941412410478
0.22733314540470212,0.38902738311838214,0.8364860330366456,0.11478874452106766,1.2407935525375458e-12,0.5774457581963047,2.2851232849817615e-24,0.24017072468672396
0.22042301308378368,0.29038061921448594,0.8616405191937874,0.1868692981943289,0.007141993586301739,0.6264747264002324,2.0796830621807475e-27,0.28809877276662177
