parameter,vif
alpha_fast,9.260018400316476
alpha_small,2.384216105368558
omega1,1.579758382056405
omega2,3.5607861865125883
omega3,4.998307527570477
omega4,2.1988843359160537
beta,1.187000083658427
gamma,2.655127211661364
