model,mse,r2,alpha_fast,alpha_small,omega1,omega2,omega3,omega4,beta,gamma
aiconf,0.00016217389792684908,0.8120396371552361,0.2332937017831575,0.340628112755626,0.8676359846388442,0.20077457287884665,8.34805428862822e-22,0.5707045408831558,5.304021767666671e-21,0.25477389513944754
selfconf,0.0003733266734480475,0.592172230070864,0.2674004206810765,0.461138485515356,0.5793755712316575,0.8352194352920292,0.23077454395747105,0.3017351131424165,3.755358067044388e-21,0.1161351226005104
