iteration,Model,track,alpha_e,alpha_a,alpha_b,omega1,omega2,omega3,omega4,gamma,alpha_fast,alpha_slow,gamma_res
1,ORIG-BASE,aiconf,0.2911845901796368,0.39978527237066436,0.012299262366105136,0.893322285499246,0.30969704823831096,2.0741942919417462e-22,0.4758278194527725,0.3661910598763012,,,
1,ORIG-BASE,selfconf,0.2845943563707394,0.44247589222200506,3.730185780241495e-20,0.5780165178832593,0.8667724291515246,0.27209326887471835,0.23403934831003917,0.13303598889157042,,,
1,PHYS-BASE,aiconf,,0.0,0.01229901860681756,0.8933222559261484,0.3096965587184245,3.1190871157682614e-23,0.47582817125117255,0.3661888865166323,0.2911843840425419,0.399783865235374,0.0
1,PHYS-BASE,selfconf,,0.0,4.99241481150095e-13,0.5780178481278034,0.8667794079751847,0.27209017033215216,0.23403532617283182,0.13304133796752596,0.2845898032159684,0.44248367369997216,0.0
1,PHYS-BASE+MOD,aiconf,,0.0,0.0,0.8952363781688076,0.2922833484806569,2.920747085772606e-14,0.5055095230955298,0.3183353488406001,0.27903499186874087,0.4080102566853465,0.0
1,PHYS-BASE+MOD,selfconf,,0.0,0.0,0.5847712201085539,0.8759978341303961,0.2543894894216559,0.24517645383624181,0.13499837294524608,0.28507489407715286,0.44532677223157013,0.0
1,PHYS-BASE+MOD+A,aiconf,,0.09788295372101272,0.0,0.8952363941810335,0.29228535437771525,7.239350886725485e-14,0.5055098833016519,0.0,0.27903550213456674,0.6284930745119968,0.0
1,PHYS-BASE+MOD+A,selfconf,,0.04702654378864623,0.0,0.5847719622360841,0.8760017173334884,0.25438768473828227,0.24517368701160352,0.0,0.28507320839242334,0.5333199372407963,0.0
1,PHYS-BASE+MOD+A+ASYM,aiconf,,0.09788295372101272,0.0,0.8952363941810335,0.29228535437771525,7.239350886725485e-14,0.5055098833016519,0.0,0.27903550213456674,0.6284930745119968,0.0
1,PHYS-BASE+MOD+A+ASYM,selfconf,,0.033898570109377094,0.0,0.31191014545128287,0.44088161413681964,0.16637624139175997,0.16099158211305412,0.0,0.6362937293516431,0.3380995854567537,0.0
1,PHYS-BASE+MOD+A+ALIGN,aiconf,,0.09703784442291687,0.0,0.8854351801897615,0.28990794451279817,5.636486155176285e-12,0.5043925755618772,0.0,0.2793677991072751,0.6241224072421018,0.04646026153249692
1,PHYS-BASE+MOD+A+ALIGN,selfconf,,0.04364811845568377,0.0,0.4898311969764131,0.823591507740641,0.26695041581759243,0.2568064120175632,0.0,0.31846450733304654,0.45039027906959966,0.748141190493927
1,PHYS-FULL,aiconf,,0.09703784442291687,0.0,0.8854351801897615,0.28990794451279817,5.636486155176285e-12,0.5043925755618772,0.0,0.2793677991072751,0.6241224072421018,0.04646026153249692
1,PHYS-FULL,selfconf,,0.03465502137557501,0.0,0.27653988552666314,0.43925317721963464,0.16826491155351608,0.16527501520827226,0.0,0.6560394290735728,0.33653450563019344,0.6632888520610069
2,ORIG-BASE,aiconf,0.2429401969113751,0.3444586988629296,0.00177807229183205,0.8896210807037657,0.23739415822151355,3.7935709139084646e-26,0.5318841257871989,0.31552537595536323,,,
2,ORIG-BASE,selfconf,0.22058120796905556,0.47285902683352665,3.6148195149064597e-20,0.6285734927912608,0.8978786688317294,0.19933487242921208,0.19201366417619034,0.16925566694632907,,,
2,PHYS-BASE,aiconf,,0.0,0.001777611344426257,0.8896222990984449,0.2373932864052561,1.990476082756795e-26,0.531884158523692,0.31552526585130036,0.24293996679481905,0.3444597718062881,0.0
2,PHYS-BASE,selfconf,,0.0,1.0985586701693181e-11,0.6285759798665661,0.8978816005014345,0.19933105801033887,0.19201153627823742,0.16926013008985635,0.2205789266105161,0.47286398383416,0.0
2,PHYS-BASE+MOD,aiconf,,0.0,0.0,0.8950236002386818,0.20276256782214372,0.013653945088311668,0.5408121561569738,0.296254721947181,0.23370790420194823,0.3543608216813396,0.0
2,PHYS-BASE+MOD,selfconf,,0.0,0.0,0.6346597597498388,0.8962472724448804,0.1892129740876618,0.20738936448548656,0.16714367684589457,0.22332558684132253,0.4702928189806313,0.0
2,PHYS-BASE+MOD+A,aiconf,,0.086816765543002,0.0,0.8950244208065069,0.20276171023470033,0.0136523247461861,0.5408125176912973,0.0,0.23370721881932227,0.5637997677568481,0.0
2,PHYS-BASE+MOD+A,selfconf,,0.045796615700744614,0.0,0.6346186257872196,0.8962059063613848,0.18927328003471644,0.2074199147956425,0.0,0.22336215436347984,0.5914724386885121,0.0
2,PHYS-BASE+MOD+A+ASYM,aiconf,,0.086816765543002,0.0,0.8950244208065069,0.20276171023470033,0.0136523247461861,0.5408125176912973,0.0,0.23370721881932227,0.5637997677568481,0.0
2,PHYS-BASE+MOD+A+ASYM,selfconf,,0.029354654010994467,0.0,0.305389852861989,0.4250510726349397,0.14481445290929987,0.13913330325211642,0.0,0.5530238729357252,0.31025617065091854,0.0
2,PHYS-BASE+MOD+A+ALIGN,aiconf,,0.08906925422723318,0.0,0.8423555577847597,0.19834037723253745,0.03895193043912687,0.5355445449083677,0.0,0.24064534509864025,0.5532695561295973,0.20907666507101516
