iteration,Model,C_AI_MSE,C_AI_adj_R2,C_self_MSE,C_self_adj_R2,Mean_MSE,Mean_adj_R2
1,MOD,0.0013265948625907006,0.8280253398729485,0.0017908127570963133,0.34037185548590565,0.001558703809843507,0.5841985976794271
1,MOD+A_OG,0.0013265948625907006,0.8280253398729485,0.0017908127570963133,0.34037185548590565,0.001558703809843507,0.5841985976794271
1,MOD+A_OG+ASYM,0.0013265948625907006,0.8280253398729485,0.001790865827398664,0.3403523075655942,0.0015587303449946823,0.5841888237192714
1,MOD+A_OG+ALIGN,0.0012787674590169044,0.8342255006803709,0.0017009651193309503,0.37346634308841575,0.0014898662891739273,0.6038459218843933
1,PHYS-FULL_OG-A,0.0012787674590169044,0.8342255006803709,0.0017009719174137493,0.3734638390819388,0.0014898696882153267,0.6038446698811548
2,MOD,0.0012755059846014257,0.7700037973913918,0.001076227932553683,0.4742217442218014,0.0011758669585775544,0.6221127708065965
2,MOD+A_OG,0.0012755059846014257,0.7700037973913918,0.001076227932553683,0.4742217442218014,0.0011758669585775544,0.6221127708065965
2,MOD+A_OG+ASYM,0.0012755059846014257,0.7700037973913918,0.0010763094646843697,0.47418191267667453,0.0011759077246428977,0.6220928550340332
2,MOD+A_OG+ALIGN,0.0011678369743207961,0.7894184170028475,0.0009175262990800968,0.551753524909654,0.0010426816367004464,0.6705859709562507
2,PHYS-FULL_OG-A,0.0011678369743207961,0.7894184170028475,0.0009175309472449041,0.5517512541044547,0.0010426839607828502,0.6705848355536511
3,MOD,0.0012777506796087554,0.8030051348878542,0.0013201983835014184,0.41169235371504875,0.0012989745315550869,0.6073487443014515
3,MOD+A_OG,0.0012777506796087554,0.8030051348878542,0.0013201983835014184,0.41169235371504875,0.0012989745315550869,0.6073487443014515
3,MOD+A_OG+ASYM,0.0012777506796087554,0.8030051348878542,0.0013202107258510753,0.411686853709317,0.0012989807027299154,0.6073459942985856
3,MOD+A_OG+ALIGN,0.0011962723700568746,0.8155669036709889,0.0012674222144942705,0.43521050383290083,0.0012318472922755726,0.6253887037519449
3,PHYS-FULL_OG-A,0.0011962723700568746,0.8155669036709889,0.0012674285804117854,0.43520766704867475,0.00123185047523433,0.6253872853598319
4,MOD,0.0019245536652254024,0.7119767262394625,0.0012607892056237453,0.42687914301920105,0.001592671435424574,0.5694279346293318
4,MOD+A_OG,0.0019245536652254024,0.7119767262394625,0.0012607892056237453,0.42687914301920105,0.001592671435424574,0.5694279346293318
4,MOD+A_OG+ASYM,0.0019245536652254024,0.7119767262394625,0.0012608591054786352,0.4268473684255112,0.0015927063853520187,0.5694120473324868
4,MOD+A_OG+ALIGN,0.0017267566274162351,0.7415784730752728,0.001046699025845561,0.5241987796074152,0.0013867278266308982,0.632888626341344
4,PHYS-FULL_OG-A,0.0017267566274162351,0.7415784730752728,0.0010467104738128812,0.5241935756694278,0.001386733550614558,0.6328860243723503
5,MOD,0.001389503647894456,0.8123364977382364,0.0016619856215327278,0.35277920191372836,0.001525744634713592,0.5825578498259824
5,MOD+A_OG,0.001389503647894456,0.8123364977382364,0.0016619856215327278,0.35277920191372836,0.001525744634713592,0.5825578498259824
5,MOD+A_OG+ASYM,0.001389503647894456,0.8123364977382364,0.0016620327004549162,0.352760868146458,0.0015257681741746862,0.5825486829423472
5,MOD+A_OG+ALIGN,0.0012991674446823885,0.824537119378558,0.0015531779877361416,0.39515174874644987,0.001426172716209265,0.609844434062504
5,PHYS-FULL_OG-A,0.0012991674446823885,0.824537119378558,0.0015532061765834917,0.39514077126984437,0.00142618681063294,0.6098389453242012
6,MOD,0.0020657489849021378,0.7096771213561208,0.0017090323523568315,0.3430619120885129,0.0018873906686294848,0.5263695167223168
6,MOD+A_OG,0.0020657489849021378,0.7096771213561208,0.0017090323523568315,0.3430619120885129,0.0018873906686294848,0.5263695167223168
