parameter,vif
alpha_fast,8.139978255461493
alpha_small,2.399713000949009
omega1,1.6283167354771526
omega2,3.226955512998133
omega3,4.445514040881686
omega4,2.1604397410136036
beta,1.187628480372117
gamma,2.6894405112750426
