iteration,aiconf_mse,aiconf_r2,selfconf_mse,selfconf_r2
1,0.0013265893805987964,0.840185824741745,0.0017908101608787941,0.3870131180149139
2,0.001275522287347429,0.7862634233348689,0.00107629612419533,0.5113670258703723
3,0.0012777143829146012,0.8169392650453664,0.0013202022081563304,0.4532882802225201
4,0.0019245485572242477,0.7323427186196247,0.001260810497278418,0.4673938457103879
5,0.0013894602335175134,0.825611083130348,0.0016619963617313085,0.398538401865426
6,0.002065744409765596,0.730205599195225,0.001708979172874374,0.3895310763027673
7,0.0018264172320755997,0.7659914651178045,0.0013527059152751838,0.4581062154937352
8,0.0012101742879128462,0.8230822887004597,0.0010402766757047941,0.5074436822208519
9,0.0021932991967479,0.706775318261315,0.0015306046240644601,0.42612227655277746
10,0.0013390057888157851,0.8011595329238835,0.0009544610452094164,0.572751355015024
11,0.0016530482987518224,0.7227521315893501,0.0016279270792036043,0.4395056687634802
12,0.0018020886953208155,0.7358444214155178,0.0011465486322598246,0.475061039391261
13,0.001401098354705787,0.7553637188071625,0.0010914786255774424,0.5298261296240263
14,0.0018284551258753625,0.6970497731715022,0.0016265013594691795,0.42976118824301324
15,0.0014702851525515868,0.7881344729457221,0.001416316539760138,0.42270632195556623
16,0.001171797951288403,0.8579437062414969,0.0014017454930995807,0.472465066545559
17,0.002334474174119992,0.6916354174004287,0.00111359546950415,0.5126971150171165
18,0.0010260573760729867,0.8667097319309787,0.001105946972919038,0.5432608891348718
19,0.001820735334630141,0.7404517706935861,0.0014845836834102809,0.47502404933201015
20,0.0018718037034548042,0.7376335886700076,0.0013348008331922926,0.5234150091917128
21,0.001467173515686229,0.7949109861285508,0.0012326443652965887,0.5054517048540923
22,0.0017214212825269282,0.7487566892648574,0.0012023488481896312,0.5611682502424873
23,0.0020573347678022685,0.7373627954497596,0.001160420928103269,0.5229184228732183
24,0.0016361770038355703,0.7662564035016969,0.0014725650584190943,0.43662243863929606
25,0.0015914701147086768,0.7767470930331669,0.0012155089554416328,0.5061766719350218
