alpha_fast,alpha_small,omega1,omega2,omega3,omega4,beta,gamma
0.27903546510877086,0.4080229680485339,0.8952364202967925,0.2922851375103095,1.0215467209011007e-12,0.5055098232492603,1.9232855628515653e-26,0.3183509218268855
0.23370992762364587,0.35435927294156894,0.895021176615151,0.2027651108786441,0.01365873298513456,0.5408110886114704,1.7925672464054628e-25,0.29625334476890947
0.26228400412909636,0.39102224474406,0.8812762725709052,0.2322048892492868,0.025312553531005255,0.5312894295762118,2.6550193974065365e-27,0.33896906255004877
0.26574921415907476,0.38144439009203085,0.8734560174320285,0.25319442459820907,7.072169648408748e-14,0.560155158547904,3.3767517985956457e-23,0.31846994255770433
0.2638010896494166,0.3222766939874524,0.8519221875303691,0.227262528295427,1.0346211558129653e-09,0.5447273401520666,1.110851515437994e-24,0.20336487422856142
0.25043823948071353,0.3981317695924518,0.873655583968031,0.16023128222198504,3.246492592887216e-12,0.593903260514237,6.572472681945193e-21,0.2889157723202439
0.24029085466634667,0.3248360628209486,0.873852278762582,0.08387124756223145,1.2862879106959063e-14,0.6207715156423568,3.8098957984613297e-25,0.27460367011756687
0.26238377032994,0.38197031468821174,0.8857656626472169,0.14822238717761305,0.04611002677135852,0.5551218957504259,7.023131920589878e-25,0.23501003969559237
0.26441963542235036,0.3734034374530009,0.870865515919496,0.25548683431136054,2.6788044618981114e-15,0.556376776879784,2.819424390426406e-23,0.2590653402022025
0.22930757305708596,0.35727513565676416,0.8715138806391103,0.17535585205746435,1.7481896576248998e-12,0.5795018159993354,6.472840326743468e-24,0.23505311879954274
0.2336207065503628,0.33337602994101906,0.8650997528461718,0.24435025279280656,2.997656570734381e-10,0.6197838831647354,2.0000783235087052e-27,0.34447451202163565
0.243143667754221,0.36807938752346514,0.8625015404004511,0.20609258678774806,2.3116218145039467e-10,0.6039952321475327,7.75692983773024e-18,0.3605632952733795
0.22682918733794286,0.3396069476743516,0.8859265709888737,0.1592433033927803,7.737724425364571e-12,0.58309740786523,2.1308067460692144e-22,0.24375780668243438
0.2119537492529943,0.43320619240267444,0.887976858098837,0.1688190455449327,1.952992584832014e-15,0.5819242363049713,9.999999956906802e-13,0.2902572534538978
0.24154367548651984,0.31049401610429184,0.8691938645316918,0.17722867293041267,1.8600533217196293e-15,0.5528865453969838,3.892627289236009e-29,0.20775536814602988
0.27469663699213226,0.3143126882483562,0.8393829514085576,0.22100514850558747,3.140736765139774e-11,0.6088114821880186,1.795886387514051e-26,0.2262915432708275
0.2554589868732296,0.3912111040573777,0.875110334605578,0.20709587523702822,9.865789938998894e-13,0.5795915918411156,3.2325474774919725e-22,0.308736696127443
0.25564444500831984,0.39930259617716424,0.8685453586042949,0.22727648814355333,2.106272776138321e-14,0.5099932792042873,1.9591765712564692e-26,0.31896447658847893
0.2303881829743825,0.32160826419407135,0.8266510072255808,0.17710991087736894,8.06284592570628e-14,0.6357796105334711,2.3393862101456587e-21,0.2857990455908623
0.2575408935994641,0.3459950574653518,0.8664907214700246,0.24340581132758152,2.3383162846986086e-13,0.5761655789313349,2.432266495732115e-23,0.3544975009501507
0.24260080531808603,0.3344563204209115,0.8601900743818643,0.19091511112046664,5.937300193178157e-11,0.6011338887237203,1.4246428527696599e-21,0.2452038485164301
0.23726983395246093,0.3260229609794985,0.8250557094874891,0.22301277286978,7.304575407732602e-12,0.5921273850763991,1.3668562722568756e-21,0.20431377515760976
0.26127576936678076,0.36867527630833,0.9140475692649367,0.1574690300126778,5.969023987791317e-13,0.54728256200862,9.241410213713013e-25,0.24146934906964082
0.2532979687151882,0.3303469680377303,0.8867583173413868,0.18514482782254169,3.971002813797714e-11,0.5831612165290122,4.520581773687759e-22,0.22019909387644956
0.26753864968736496,0.34314945996888174,0.874115705394517,0.2565093477783868,1.2760847618109156e-12,0.5428578274548056,3.8332601742815485e-22,0.37960813690509176
0.2530579954862775,0.30671880053464223,0.8181835263348473,0.2513857369674352,1.2688204634670657e-09,0.636894254062919,6.865254338001475e-23,0.2824904509934775
0.23793898283385903,0.35231795124177484,0.8816442756489414,0.15604335898766353,2.364387249244181e-11,0.5870107472597118,8.283042003036799e-22,0.26143215734331837
0.2647772938876545,0.3904738116723365,0.8726734813291184,0.23125869532380144,2.315371415129736e-12,0.5432435829691153,1.068748748243085e-20,0.30977798707276694
0.26189109413436956,0.34708239298108146,0.849817565886515,0.2507459054279992,0.016862719626139774,0.5406732423962316,1.5949943481386957e-34,0.28671050792773317
0.2394533233072244,0.3387525510167505,0.8589334840535157,0.13560808654414647,8.848597086109048e-12,0.6037472766667837,3.89840058684411e-21,0.28368137519081554
