model,mse,r2,alpha_fast,alpha_small,omega1,omega2,omega3,omega4,beta,gamma
aiconf,0.001349995966312679,0.8098392636639058,0.25193719095625317,0.3544794698236127,0.8726523500821335,0.19886175208230314,2.3727345922532537e-26,0.5722114604261037,7.118315961019525e-21,0.2712398672929415
selfconf,0.00117304816055159,0.5203782734433804,0.2829979141351101,0.473087067109707,0.5790509409993023,0.8376996190637459,0.23120854576385486,0.29849412834773914,3.961180548996492e-23,0.11822817738884903
